,,/身長体重,身長(cm),身長(cm),身長(cm),体重(kg),体重(kg),体重(kg),身長(cm),身長(cm),身長(cm),体重(kg),体重(kg),体重(kg)
時間軸(年次),年齢階級,/表章項目,人数【人】,平均値,標準偏差,人数【人】,平均値,標準偏差,人数【人】,平均値,標準偏差,人数【人】,平均値,標準偏差
2019年,総数,,"2,342",163.1,16.5,"2,332",62.7,17.2,"2,697",151.3,13.6,"2,681",50.8,12.5
2019年,1歳,,15,79.6,4.7,15,10.3,1.4,14,76.6,4.2,17,9.7,1.4
2019年,2歳,,15,89,4.2,15,12.2,1.5,23,88.2,3.5,23,12.3,1.5
2019年,3歳,,8,95.6,4.1,8,13.8,0.9,8,95.7,3.9,8,13.9,1.1
2019年,4歳,,13,103.7,4.8,13,16.4,1.9,20,102.9,5.3,20,16.5,2.6
2019年,5歳,,19,110.5,5.3,19,18.2,3.1,25,107.5,4.8,25,17.7,2.6
2019年,6歳,,15,114.9,4.3,15,20.6,3.3,18,114.7,4.8,17,20.4,2.6
2019年,7歳,,28,122.7,4.3,28,24.7,5.8,21,121.1,5,22,21.8,2.8
2019年,8歳,,24,126.3,4.9,24,25.8,6.3,21,125.5,6.1,22,25.9,4.6
2019年,9歳,,24,132.5,5,24,30.1,4.9,17,133.1,6.3,18,30.4,6.7
2019年,10歳,,26,138.1,7.5,27,33.9,9.3,23,138.7,7.2,23,32.2,6.6
2019年,11歳,,20,147.2,7.7,20,41.3,8.5,18,144,6.8,18,36.5,7.1
2019年,12歳,,29,148,8.1,30,41.3,9.9,19,150.9,5.7,19,41.9,5.6
2019年,13歳,,24,156.5,9.2,24,44.7,6.9,28,154.8,6,27,48.8,7.6
2019年,14歳,,20,166.8,5.7,20,56.1,11.2,20,155.5,5.6,21,48.4,6.1
2019年,15歳,,19,169.3,4.2,19,59.2,11.6,21,159.2,5.9,21,51.2,6.9
2019年,16歳,,26,168.9,6.2,24,60.8,11.7,16,158,6.3,16,48.9,4.8
2019年,17歳,,14,171.5,6.5,14,64,15.8,17,158.4,4.5,16,52.6,7.5
2019年,18歳,,19,171.1,5.2,19,61.2,6.3,13,156,6.4,13,49.6,4.8
2019年,19歳,,16,170.4,5.8,16,60.6,9.2,15,156.7,7.4,15,48.7,7.5
2019年,20歳,,12,170.2,6.8,12,57,8.8,14,158.6,4.2,14,49,5.3
2019年,21歳,,11,168.7,6.1,11,64.8,13.9,10,158.7,5.6,10,54.6,9
2019年,22歳,,26,172.3,7.1,26,65.3,11.5,8,159,4.9,7,52.3,6.1
2019年,23歳,,16,171.6,7.5,16,72.7,13.5,11,155.9,5.6,11,51.3,7.9
2019年,24歳,,12,172.7,3.8,12,68.6,16.2,21,155.9,6.5,21,49.2,7.5
2019年,25歳,,5,171.3,6.2,5,63.6,6.5,14,156.9,4.1,14,52.4,9
2019年,26歳-29歳,,52,171.8,6.7,52,70.4,13.3,62,157.9,5.8,58,53.4,8.5
2019年,30歳-39歳,,178,171.5,5.5,177,70,13,225,158.2,5.5,214,54.3,9.5
2019年,40歳-49歳,,298,171.5,5.8,297,72.8,12.8,359,158.1,5.4,356,55.6,10
2019年,50歳-59歳,,290,169.9,6,286,71,11.4,378,156.9,5.2,377,55.2,9.1
2019年,60歳-69歳,,449,167.4,6,446,67.3,10.9,501,154,5.7,501,54.7,9.2
2019年,70歳以上,,619,163.1,6.1,618,62.4,9.9,737,149.4,6,737,51.1,8.6
2019年,（再掲）20歳以上,,"1,968",167.7,6.9,"1,958",67.4,12,"2,340",154.3,6.7,"2,320",53.6,9.2
2019年,（再掲）20歳-29歳,,134,171.5,6.6,134,67.6,13.3,140,157.5,5.5,135,52,8.1
2019年,（再掲）60歳-64歳,,172,168.9,5.9,169,67.9,11.2,211,155,5.6,211,55.7,9.5
2019年,（再掲）65歳-69歳,,277,166.5,5.9,277,66.9,10.8,290,153.3,5.7,290,54,8.9
2019年,（再掲）70歳-74歳,,245,164.5,5.5,245,63.7,8.9,291,151.4,5.4,290,52.9,8.2
2019年,（再掲）75歳-79歳,,204,163.3,6,204,62.8,11,212,149.8,5.4,213,51.4,8.7
2019年,（再掲）80歳以上,,170,161.1,6.4,169,60.1,9.4,234,146.6,6.2,234,48.6,8.2
2018年,総数,,"2,900",162.4,18.6,"2,896",61.8,17.6,"3,308",150.3,15.7,"3,277",50,13.4
2018年,1歳,,18,79.7,3.6,19,10.4,1.1,29,77.2,5.9,30,10.2,1.2
2018年,2歳,,34,88.6,3.9,34,12.6,1.5,29,87.5,3.4,29,12.3,1.4
2018年,3歳,,26,96,3.5,26,14.2,1.5,36,96.1,4.7,37,14.6,1.7
2018年,4歳,,26,101.2,4.1,26,15.4,1.8,34,102.3,5.2,34,15.9,2.2
2018年,5歳,,22,110,4,22,18.2,2,36,109.3,4.7,36,18.1,2.6
2018年,6歳,,26,115.6,5.5,26,20.4,2.5,27,114.8,5.9,27,20.3,3.8
2018年,7歳,,37,122,4.9,37,24.2,5,31,119.6,6.1,31,22.3,3.8
2018年,8歳,,28,127.8,4.9,28,26.6,5.3,34,125.7,4.5,34,26,3.8
2018年,9歳,,27,131.8,6.8,27,29.1,5.8,26,134.4,5.8,26,29.7,3.9
2018年,10歳,,33,138.4,6.5,33,33.8,7.3,30,140.6,7.7,28,33.7,7.6
2018年,11歳,,33,145.7,8,33,38.8,9.9,25,146.6,6.6,25,37.1,6.4
2018年,12歳,,31,153.1,7.9,31,43.4,8.5,19,150.1,5.7,19,41.9,7.2
2018年,13歳,,24,160.3,7.6,24,50.4,7.9,24,154.6,5.9,24,47.2,6.7
2018年,14歳,,17,165.2,6.5,17,51,7.5,19,154.9,5.1,19,48.7,6.9
2018年,15歳,,29,168,5.4,29,57.9,9.6,29,158.2,5.1,29,49.5,5.7
2018年,16歳,,17,173.9,5.2,17,62.6,10.4,25,156.6,3.6,24,49.9,6.8
2018年,17歳,,27,169.2,5.8,27,57.3,8.9,21,154.8,5.7,21,47.2,6.2
2018年,18歳,,19,170,5.7,19,61.1,9,14,157.4,6,14,50.1,9.2
2018年,19歳,,20,174,5.1,20,64.3,8,15,156.6,6,15,51.2,7.7
2018年,20歳,,15,169.1,6.8,15,61.4,8.5,17,157,4.6,17,50.7,7.5
2018年,21歳,,17,172.5,4.2,17,65.1,6.3,18,157.1,5,18,52.2,9.5
2018年,22歳,,23,172.6,6.8,23,64,12,14,158.8,2.7,14,52.3,7.8
2018年,23歳,,10,169.4,6.8,10,62.8,13.9,18,159.3,6.9,17,54.6,10.5
2018年,24歳,,19,171.5,6.6,19,63.9,9.8,22,157.5,5,21,50.9,4.9
2018年,25歳,,15,173.5,5.1,15,70.3,17.9,19,160.1,7.3,18,53.3,9.1
2018年,26歳-29歳,,75,171.7,5.5,75,66,10.2,78,159.4,5.9,72,54,9.4
2018年,30歳-39歳,,268,172.1,6.1,267,71,12.3,311,158.3,5.6,295,53.4,8.5
